Result Time,Granularity Period,Object Name,Reliability,"L5101:SABME Frames Sent by the BTS on LAPD Link","L5102:SABME Frames Received by the BTS on LAPD Link","L5103:BTS-Sent Rejects to the LAPD Setup Requests","L5104:BTS-Received Rejects to the LAPD Setup Requests","L5105:RNR Frames Sent by the BTS on LAPD Link","L5106:RNR Frames Received by the BTS on LAPD Link","L5107:I Frames Resent by the BTS on LAPD Link","L5108:NRERR Frames Received by the BTS on LAPD Link","L5109:L3 Data Requests Received by BTS on LAPD Link","L5110:I Frames Sent by the BTS on LAPD Link","L5111:I Frames Received by the BTS on LAPD Link","L5112:Queue Overflows of Messages Sent by BTS on LAPD Link","L5113:Erroneous Long Frames Received by BTS Physical Layer on LAPD Link","L5114:Erroneous Octet Received by BTS Physical Layer on LAPD Link","L5115:Discarded Series Received by BTS Physical Layer on LAPD Link","L5116:Number of Times the BTS Receives CRC Errors on LAPD Link","L5117:L1 and L2 Overflows on LAPD Link of the BTS","L5118:Total Frames Received by the BTS Physical Layer on LAPD Link"
,Minutes,,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=12307, DestObjLabel=LI866G_GALIAS, DestObjType=BTS",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=19, DestObjLabel=LI866G_GALIAS, DestObjType=BTS",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3060, DestObjLabel=LI897H3_NANA1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3059, DestObjLabel=LI897H3_NANA0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3056, DestObjLabel=LI897H2_NANA1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3055, DestObjLabel=LI897H2_NANA0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3052, DestObjLabel=LI897H1_NANA1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3051, DestObjLabel=LI897H1_NANA0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3050, DestObjLabel=LI897G3_NANA3, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3049, DestObjLabel=LI897G3_NANA2, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3048, DestObjLabel=LI897G3_NANA1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3047, DestObjLabel=LI897G3_NANA0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3045, DestObjLabel=LI897G2_NANA2, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3044, DestObjLabel=LI897G2_NANA1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3043, DestObjLabel=LI897G2_NANA0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3041, DestObjLabel=LI897G1_NANA2, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3040, DestObjLabel=LI897G1_NANA1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3039, DestObjLabel=LI897G1_NANA0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3036, DestObjLabel=LI821H3_MIRAMAR1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,893,893,1114,0,0,0,0,0,0,36433
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3035, DestObjLabel=LI821H3_MIRAMAR0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,2877,2877,29145,0,0,0,0,0,0,36433
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3037, DestObjLabel=LI821H3_MIRAMAR2, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,892,892,1505,0,0,0,0,0,0,36433
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3033, DestObjLabel=LI821H2_MIRAMAR2, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,547,547,256,0,0,0,0,0,0,31580
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3032, DestObjLabel=LI821H2_MIRAMAR1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,563,563,393,0,0,0,0,0,0,31580
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3031, DestObjLabel=LI821H2_MIRAMAR0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,1015,1015,28804,0,0,0,0,0,0,31580
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3029, DestObjLabel=LI821H1_MIRAMAR2, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,407,407,24,0,0,0,0,0,0,28760
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3028, DestObjLabel=LI821H1_MIRAMAR1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,445,445,61,0,0,0,0,0,0,28760
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3027, DestObjLabel=LI821H1_MIRAMAR0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,808,808,27012,0,0,0,0,0,0,28760
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3023, DestObjLabel=LI821G3_MIRAMAR0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,1183,1183,28876,0,0,0,0,0,0,30059
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3021, DestObjLabel=LI821G2_MIRAMAR0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,1845,1845,30123,0,0,0,0,0,0,31968
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3018, DestObjLabel=LI821G1_MIRAMAR1, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,6118,6118,7774,0,0,0,0,0,0,73775
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3017, DestObjLabel=LI821G1_MIRAMAR0, DestObjType=TRX",Reliable,0,0,0,0,0,0,0,0,14814,14814,45069,0,0,0,0,0,0,73775
2017-08-04 09:00,60,"BSC04HLV_LIMA/LAPDLINK:Logic No.=3014, DestObjLabel=LI844H3_MANCHAY1, DestObjType=TRX",Unreliable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
