Result Time,Granularity Period,Object Name,Reliability,"CR373:Cell In-Service Duration","R3710:Number of Cell BCCH Mutual Aids","R3711:Number of Recoveries after Cell BCCH Mutual Aids","R3720:Number of Cell Baseband Hopping Mutual Aids","R3721:Number of Recoveries after Cell Baseband Hopping Mutual Aids","R3722:Duration of Cell Turning off","R373:Cell Out-of-Service Duration","S3936U:Average Power Decrease on GSM 2.0 MHz Interfering Frequency","S3936V:Average Power Decrease on GSM 2.2 MHz Interfering Frequency","S3936W:Average Power Increase on GSM Non-Interfering Frequency","TR373:Cell Availability"
,Minutes,,,s,None,None,None,None,s,s,dB,dB,dB,%
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI844G3_MANCHAY, CellIndex=180, CGI=71606041220FB",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI844G2_MANCHAY, CellIndex=179, CGI=71606041220FA",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI844G1_MANCHAY, CellIndex=178, CGI=71606041220F9",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI649H3_LOS_PERROS, CellIndex=177, CGI=716060413406D",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI649H2_LOS_PERROS, CellIndex=176, CGI=716060413406C",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI649H1_LOS_PERROS, CellIndex=175, CGI=716060413406B",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI649G3_LOS_PERROS, CellIndex=174, CGI=716060413195D",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI649G2_LOS_PERROS, CellIndex=173, CGI=716060413195C",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI649G1_LOS_PERROS, CellIndex=172, CGI=716060413195B",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI655H3_LIMA_21, CellIndex=171, CGI=71606041340A9",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI655H2_LIMA_21, CellIndex=170, CGI=71606041340A8",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI655H1_LIMA_21, CellIndex=169, CGI=71606041340A7",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI655G2_LIMA_21, CellIndex=167, CGI=7160604131998",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI808G3_LA_TIZA, CellIndex=165, CGI=7160604121F93",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI808G2_LA_TIZA, CellIndex=164, CGI=7160604121F92",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI808G1_LA_TIZA, CellIndex=163, CGI=7160604121F91",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI641H2_JUAN_PABLO_II, CellIndex=162, CGI=716060411401C",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI641H1_JUAN_PABLO_II, CellIndex=161, CGI=716060411401B",Unreliable,275,0,0,0,0,0,3325,,,,7.639
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI641G2_JUAN_PABLO_II, CellIndex=160, CGI=716060411190C",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI641G1_JUAN_PABLO_II, CellIndex=159, CGI=716060411190B",Reliable,0,0,0,0,0,0,3600,,,,0
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI834H3_URA_HUAYCAN, CellIndex=157, CGI=71606041247A7",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI834H2_URA_HUAYCAN, CellIndex=156, CGI=71606041247A6",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI834H1_URA_HUAYCAN, CellIndex=155, CGI=71606041247A5",Reliable,3600,0,0,0,0,0,0,,,,100
2017-08-04 09:00,60,"BSC04HLV_LIMA/GCELL:LABEL=LI834G3_URA_HUAYCAN, CellIndex=154, CGI=7160604122097",Reliable,3600,0,0,0,0,0,0,,,,100
